what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1533347102814
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1533347102815
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1533347102816
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1533347102816
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1533347102817
started,bundle,org.tigris.subversion.subclipse.core,1.10.12,"org.tigris.subversion.subclipse.core",1533347102818
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1533347102818
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1533347102818
started,bundle,org.tigris.subversion.subclipse.ui,1.10.13,"org.tigris.subversion.subclipse.ui",1533347102820
os,sysinfo,,,"win32",1533347102822
arch,sysinfo,,,"x86_64",1533347102822
ws,sysinfo,,,"win32",1533347102822
locale,sysinfo,,,"zh_CN",1533347102822
processors,sysinfo,,,"4",1533347102822
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1533347102822
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1533347102822
java.specification.name,sysinfo,,,"Java Platform API Specification",1533347102822
java.specification.vendor,sysinfo,,,"Oracle Corporation",1533347102822
java.specification.version,sysinfo,,,"1.8",1533347102822
java.vendor,sysinfo,,,"Oracle Corporation",1533347102822
java.version,sysinfo,,,"1.8.0_31",1533347102822
java.vm.info,sysinfo,,,"mixed mode",1533347102822
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1533347102822
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1533347102822
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1533347102822
java.vm.specification.version,sysinfo,,,"1.8",1533347102822
java.vm.vendor,sysinfo,,,"Oracle Corporation",1533347102822
java.vm.version,sysinfo,,,"25.31-b07",1533347102822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533347102836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533347104083
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533347104175
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1533347104435
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1533347104435
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1533347104437
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1533347104438
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1533347104439
